Hour,Zone0_t_eft,Zone1_t_eft,Zone2_t_eft,Zone3_t_eft,Zone4_t_eft,Zone5_t_eft,GHX0_t_eft,GHX0_t_mean,GHX0_q_ghe,GHX0_t_exit,GHX1_t_eft,GHX1_t_mean,GHX1_q_ghe,GHX1_t_exit,GHX2_t_eft,GHX2_t_mean,GHX2_q_ghe,GHX2_t_exit
2228,6.06678996,6.59729203,5.99136637,5.44000537,5.41676777,4.90855718,4.46176992,5.95050277,1.93091249,7.43923562,5.95050277,6.11506581,0.21344113,6.27962885,6.03826972,6.09938453,0.07926696,6.16049933
2229,6.05269838,6.54669033,5.71798422,5.71798422,5.69329862,4.82668346,4.28081936,5.92771241,1.52257257,7.57460547,5.92771241,6.10116943,0.16036312,6.27462645,6.02022282,6.08981331,0.06433725,6.15940379
2230,6.03415910,6.45002392,5.56889778,5.56889778,5.54343229,4.50861255,4.18578192,5.88995072,1.48066957,7.59411952,5.88995072,6.08562753,0.17001409,6.28130435,5.99431169,6.07969900,0.07418889,6.16508632
2231,6.01416916,6.24259103,5.28748578,5.28748578,5.25929830,4.03245407,3.92642234,5.84439506,1.53706280,7.76236779,5.84439506,6.07100060,0.18160162,6.29760614,5.96525135,6.07007524,0.08400583,6.17489912
2232,5.99990021,6.29491735,5.35693626,5.35693626,5.32938135,4.09897338,4.04024354,5.81841225,1.44971296,7.59658095,5.81841225,6.05771968,0.19510358,6.29702711,5.94604287,6.06145146,0.09409080,6.17686005
2233,5.98640894,6.24331837,5.27335789,5.27335789,5.24516459,3.99113258,3.96563798,5.79079489,1.43685914,7.61595181,5.79079489,6.04649938,0.20130397,6.30220386,5.92717062,6.05410987,0.09993323,6.18104913
2234,5.97418951,6.19885428,5.19821384,5.19821384,5.16878317,3.92421479,3.89793442,5.76536693,1.42556340,7.63279945,5.76536693,6.03649490,0.20697407,6.30762286,5.90996851,6.04758493,0.10505382,6.18520135
2235,5.96332875,6.21477457,5.21161696,5.21161696,5.18257489,3.98740419,3.92462959,5.74482694,1.38694519,7.56502428,5.74482694,6.02672347,0.21479816,6.30862001,5.89517176,6.04122247,0.11128702,6.18727318
2236,5.57183447,3.89242434,3.72411861,3.72411861,3.71747447,3.53033220,3.47226088,5.02016529,6.92800000,6.56806970,5.02016529,5.67442270,2.92827857,6.32868011,5.36910258,5.80352807,1.94437058,6.23795356
2237,5.79731037,7.02157625,6.75246407,5.86030421,5.85061702,5.59230244,5.28032922,5.55958827,0.79670398,5.83884731,5.55958827,5.83307118,0.78022511,6.10655409,5.70544582,5.90229842,0.56160491,6.09915102
2238,6.04313643,8.36366369,7.97061501,7.60173438,7.58425328,7.39465880,7.10892735,6.15254262,-3.20086570,5.19615789,6.15254262,6.00598779,-0.49049542,5.85943296,6.07438005,6.00742945,-0.22407287,5.94047885
2239,6.25992323,9.11118322,8.62444678,8.75980748,8.72944478,8.55557479,8.27634580,6.62270450,-5.47451351,4.96906320,6.62270450,6.17632644,-1.47777075,5.72994837,6.38463620,6.11739411,-0.88472658,5.85015203
2240,6.44342743,9.33727911,8.84900029,9.09394124,9.06480328,8.94568030,8.72955794,6.95813892,-6.65474376,5.18671989,6.95813892,6.34123255,-2.31755094,5.72432617,6.62912218,6.23120485,-1.49486817,5.83328751
2241,6.61035464,9.53259106,9.00957083,9.30573180,9.27873600,9.20635394,9.02866499,7.22967849,-7.45853283,5.43069198,7.22967849,6.50012377,-3.02470742,5.77056905,6.84058264,6.34723692,-2.04539348,5.85389120
2242,6.80964903,9.72984952,9.22995573,9.66471742,9.63554316,9.59880683,9.46847695,7.54942932,-8.75750217,5.63038169,7.54942932,6.68902878,-3.92640576,5.82862823,7.09054903,6.48862046,-2.74687854,5.88669189
2243,7.00913122,10.03553835,9.61972560,10.11661522,10.08309256,10.07038379,9.96128602,7.86869602,-9.96482217,5.77610601,7.86869602,6.87690667,-4.72285752,5.88511733,7.33974170,6.63129067,-3.37361285,5.92283964
2244,7.17952002,10.19314774,9.74420762,10.26523030,10.23527474,10.23902981,10.14825992,8.09897427,-10.43896062,6.04968861,8.09897427,7.04856081,-5.35075462,5.99814736,7.53875376,6.76896717,-3.92125515,5.99918058
2245,7.36614267,10.44841925,10.04179406,10.56493718,10.54619721,10.56693399,10.49126706,8.36522141,-11.39287269,6.23917576,8.36522141,7.23115922,-6.07711605,6.09709703,7.76038824,6.91557630,-4.52710638,6.07076437
2246,7.57863590,10.65677461,10.29923168,10.87065586,10.85385251,10.88359302,10.80345336,8.65130101,-12.45866169,6.49914866,8.65130101,7.44278594,-6.99601048,6.23427088,8.00675964,7.08935162,-5.31081186,6.17194359
2247,7.75226540,10.84465451,10.54728819,11.15512580,11.13390415,11.16624193,11.07499090,8.88150524,-13.02251117,6.68801958,8.88150524,7.61536464,-7.51695369,6.34922404,8.20623025,7.23344843,-5.77531111,6.26066662
2248,7.82940294,11.05968303,10.85250877,11.40966548,11.39536954,11.42607546,11.29746183,8.99840550,-12.80432350,6.69934917,8.99840550,7.68732962,-7.30188275,6.37625374,8.29916503,7.29253197,-5.60632427,6.28589892
2249,6.96600170,8.40735326,7.60793097,8.24682782,8.19137283,8.33246424,7.62529761,7.50280139,-0.14356730,7.38030517,7.50280139,6.91785794,-0.68556198,6.33291448,7.19083155,6.70905330,-0.56465091,6.22727504
2250,6.71527303,8.60744339,7.71865050,7.72633269,7.68002946,7.79446755,7.04806961,7.08483907,0.03880739,7.12160854,7.08483907,6.68760125,-0.41925448,6.29036342,6.87297890,6.53503776,-0.35667131,6.19709662
2251,6.55332616,7.91275631,6.78027268,6.78027268,6.71556385,6.82063308,5.95088043,6.78782009,0.69036838,7.62475975,6.78782009,6.54887035,-0.19710303,6.30992061,6.66038023,6.43097866,-0.18922701,6.20157710
2252,6.46990219,7.95515035,6.84672334,6.84672334,6.80350987,6.88013930,6.05878618,6.66375061,0.43141722,7.26871505,6.66375061,6.46694040,-0.14035092,6.27013018,6.55878516,6.36832166,-0.13582490,6.17785815
2253,6.40063936,7.69818213,6.42895844,6.42895844,6.39142100,6.42677898,5.58844887,6.54329640,0.57973343,7.49814392,6.54329640,6.40543822,-0.08370027,6.26758005,6.46977204,6.32163057,-0.08994374,6.17348911
2254,6.34997628,7.62173867,6.17768638,6.17768638,6.13599644,6.03060637,5.50075209,6.46194218,0.51301984,7.42313226,6.46194218,6.35778087,-0.05559443,6.25361957,6.40638948,6.28550404,-0.06452067,6.16461860
2255,6.30470869,7.33100131,5.69517519,5.69517519,5.64714749,5.31549888,5.13348769,6.38086335,0.58643618,7.62823901,6.38086335,6.31822226,-0.02944983,6.25558116,6.34745477,6.25585603,-0.04306386,6.16425729
2256,6.26778065,7.27966197,5.83997448,5.83997448,5.79842504,5.27591862,5.18551061,6.31464922,0.60189292,7.44378784,6.31464922,6.28545997,-0.01555947,6.25627072,6.29908162,6.23200810,-0.03575387,6.16493458
2257,6.23112427,7.06878554,5.71325347,5.71325347,5.67332993,4.97118503,4.93552578,6.24171627,0.73928097,7.54790676,6.24171627,6.25559019,0.00785240,6.26946411,6.24911569,6.21056265,-0.02182035,6.17200960
2258,6.19507676,6.85957827,5.60054855,5.60054855,5.56429627,4.71385428,4.68075286,6.16661612,0.90448489,7.65247937,6.16661612,6.22733624,0.03696197,6.28805637,6.19900019,6.19059284,-0.00511778,6.18218550
2259,6.16525342,6.87946152,5.75296344,5.75296344,5.71967793,4.83518667,4.76452685,6.11137072,0.91569844,7.45821459,6.11137072,6.20113093,0.06102658,6.29089113,6.15924283,6.17212266,0.00875680,6.18500249
2260,6.00398198,4.82442112,4.47877826,4.47877826,4.46516531,4.18085676,4.06173943,5.72086875,3.63087254,7.37999806,5.72086875,6.08593124,0.79891021,6.45099372,5.91556874,6.10502569,0.41461145,6.29448263
2261,6.22162772,8.42032171,8.16244804,7.70597284,7.69676193,7.48987231,7.19027041,6.35235123,-2.51554308,5.51443206,6.35235123,6.19755348,-0.46472312,6.04275573,6.26979243,6.16658234,-0.30985021,6.06337224
2262,6.44164729,9.21474330,8.86350488,8.64981730,8.63410552,8.47327177,8.21757999,6.82995325,-5.21366514,5.44232651,6.82995325,6.37031815,-1.72696550,5.91068304,6.58481453,6.27802759,-1.15267625,5.97124064
2263,6.62899950,9.57523237,9.16382868,9.35053737,9.32483113,9.16802238,8.93185527,7.19625717,-6.80676674,5.46065907,7.19625717,6.53009245,-2.61260248,5.86392772,6.84096932,6.38674827,-1.78138979,5.93252722
2264,6.75476035,9.75764848,9.31450370,9.49592737,9.46955604,9.33191202,9.13582569,7.39987143,-7.19326386,5.66391717,7.39987143,6.65007185,-3.10694030,5.90027227,6.99997832,6.47451124,-2.17737499,5.94904415
2265,6.85899945,9.89076616,9.39425698,9.55278467,9.52712295,9.40781501,9.23928518,7.54879091,-7.38772913,5.85829665,7.54879091,6.75424145,-3.47230769,5.95969198,7.12503120,6.55496317,-2.49128804,5.98489515
2266,6.97755180,10.04472391,9.54568394,9.73429945,9.70524302,9.59873882,9.46889397,7.72729848,-7.96666167,5.98570298,7.72729848,6.86885984,-3.92679598,6.01042120,7.26946454,6.64393724,-2.86137874,6.01840995
2267,7.11449822,10.29315453,9.87004582,10.08912506,10.05502140,9.96029984,9.84949642,7.94973481,-8.89029757,6.04997320,7.94973481,6.99615052,-4.46247995,6.04256623,7.44115652,6.74117445,-3.27569991,6.04119238
2268,7.25200947,10.38533061,9.93145811,10.20825725,10.17806522,10.09749166,10.00591355,8.13521196,-9.42559646,6.26451038,8.13521196,7.13428717,-5.04319515,6.13336238,7.60138541,6.85272268,-3.77216379,6.10405994
2269,7.35475635,10.59364404,10.16172454,10.39203289,10.37211330,10.28809900,10.20791048,8.28151150,-9.71390187,6.35511251,8.28151150,7.23439854,-5.28008612,6.18728558,7.72305125,6.93384790,-3.97957225,6.14464454
2270,7.47066303,10.75849133,10.36103519,10.59279064,10.57417709,10.49666079,10.40780785,8.44301387,-10.22461166,6.47821988,8.44301387,7.34827400,-5.69692806,6.25353414,7.85915261,7.02667495,-4.33213905,6.19419729
2271,7.56530788,10.88006578,10.54214752,10.79351335,10.76943322,10.68987855,10.58647012,8.57553250,-10.49554954,6.56459488,8.57553250,7.44069340,-5.92298831,6.30585429,7.97028498,7.10247692,-4.52929141,6.23466886
2272,7.56719338,10.91949883,10.67614128,10.93994191,10.92315697,10.83314702,10.68241931,8.58972016,-9.90194350,6.49702100,8.58972016,7.43860395,-5.44669196,6.28748774,7.97579151,7.10022409,-4.14288843,6.22465668
2273,6.82365280,7.78154504,6.79933148,6.79272592,6.72519169,6.26072397,5.39886524,7.17358988,1.68560728,8.94831451,7.17358988,6.81979603,-0.33602818,6.46600218,6.98489982,6.63937050,-0.32817866,6.29384117
2274,6.62142237,7.72407714,6.92977889,6.82310293,6.78151003,6.35042868,5.68537877,6.82180300,1.33296814,7.95822724,6.82180300,6.63638832,-0.21748205,6.45097363,6.72291517,6.50543061,-0.25509839,6.28794604
2275,6.47458591,7.07647121,6.28958375,5.94153922,5.89654957,5.42215975,4.82021684,6.53041450,2.01844640,8.24061216,6.53041450,6.51627110,-0.01669263,6.50212769,6.52287135,6.41940254,-0.12211819,6.31593373
2276,6.39120636,6.98412885,6.32460580,5.87285072,5.84717750,5.31883000,4.83212416,6.39022417,1.85500076,7.94832417,6.39022417,6.43870653,0.05772083,6.48718889,6.41608143,6.36277772,-0.06346089,6.30947401
2277,6.33758367,6.86544364,6.01256290,6.01256290,5.98778420,5.14925545,4.58802255,6.31484854,1.55181828,8.04167452,6.31484854,6.38557089,0.06355489,6.45629324,6.35256712,6.32045972,-0.02885343,6.28835231
2278,6.28842768,6.70758901,5.80953654,5.80953654,5.78297711,4.75179262,4.42298529,6.23293143,1.54239732,8.04287757,6.23293143,6.34051784,0.09168283,6.44810425,6.29031085,6.28627548,-0.00343885,6.28224012
2279,6.24271748,6.45164508,5.49091252,5.49091252,5.46319778,4.21692046,4.11013792,6.14968301,1.62113175,8.18922810,6.14968301,6.30115210,0.12039515,6.45262118,6.23046652,6.25671857,0.02086643,6.28297062
2280,6.20459586,6.42719189,5.49786827,5.49786827,5.47031840,4.18323103,4.12503752,6.08431650,1.60961057,8.04359549,6.08431650,6.26628544,0.14949332,6.44825439,6.18136661,6.23114358,0.04089338,6.28092055
2281,6.16866369,6.29859144,5.36297940,5.36297940,5.33602674,3.97868452,3.95410768,6.01817409,1.68309933,8.08224051,6.01817409,6.23518607,0.17695783,6.45219805,6.13391382,6.20837783,0.06072010,6.28284184
2282,6.13429405,6.17407921,5.29377272,5.29377272,5.26764935,3.93645421,3.91330024,5.95456885,1.76630738,7.99583746,5.95456885,6.20515427,0.21683127,6.45573969,6.08821441,6.18695649,0.08544141,6.28569857
2283,6.10727145,6.25712056,5.38233838,5.38233838,5.35671217,3.99931720,3.94451546,5.91086095,1.71267712,7.87720645,5.91086095,6.17936552,0.23386614,6.44787009,6.05406339,6.16808066,0.09930847,6.28209793
2284,5.91047712,4.71824020,4.45481686,4.45481686,4.44452762,4.03743220,3.94677419,5.51520424,4.49954252,7.08363430,5.51520424,6.00817574,1.41424617,6.50114723,5.77812237,6.06173970,0.81364688,6.34535703
2285,6.09490846,7.72610256,7.53743776,6.80298984,6.79615364,6.51822877,6.29946049,6.06103556,-0.97296340,5.82261062,6.06103556,6.10128977,0.16426921,6.14154398,6.08250447,6.10908444,0.10846742,6.13566441
2286,6.31853122,8.62877637,8.33155064,7.92233493,7.90912922,7.65599144,7.43988781,6.54762091,-3.94300979,5.65535401,6.54762091,6.27674557,-1.19702312,6.00587023,6.40315406,6.22181939,-0.80133465,6.04048472
2287,6.49816856,9.28143409,8.88065697,8.87258199,8.84752557,8.55021198,8.32057179,6.92050518,-5.62016937,5.52043857,6.92050518,6.42313095,-1.99656744,5.92575672,6.65523892,6.31865958,-1.35110209,5.98208023
2288,6.62392955,9.49846304,9.05522505,9.13570262,9.10932945,8.82532245,8.62951089,7.14167188,-6.14833318,5.65383286,7.14167188,6.53802659,-2.49449862,5.93438130,6.81972772,6.40016020,-1.73381722,5.98059268
2289,6.72611369,9.58279759,9.08816880,9.19078908,9.16520803,8.91271285,8.74503008,7.29442565,-6.34556089,5.84382121,7.29442565,6.63861965,-2.86877441,5.98281365,6.94466245,6.47634369,-2.04862549,6.00802492
2290,6.83822801,9.71167246,9.21209509,9.36770254,9.33861699,9.11261764,8.98275764,7.46946635,-6.89390812,5.95617506,7.46946635,6.74560328,-3.29761065,6.02174022,7.08340605,6.55802453,-2.39341356,6.03264301
2291,6.95849841,9.92656083,9.49657600,9.69561177,9.66101549,9.45286766,9.34037839,7.67071463,-7.66513448,6.00105088,7.67071463,6.85604430,-3.74000911,6.04137397,7.23622379,6.64109798,-2.73211861,6.04597216
2292,7.05206999,10.01060916,9.53396779,9.74106230,9.70935491,9.51906390,9.42300630,7.79557802,-7.78292757,6.16814974,7.79557802,6.95078497,-4.04009390,6.10599193,7.34502173,6.71726801,-3.00213644,6.08951428
2293,7.13916331,10.20315969,9.74849944,9.92358383,9.90264283,9.71731083,9.63299017,7.92853033,-8.13790290,6.22407049,7.92853033,7.03360291,-4.27280965,6.13867549,7.45123571,6.78250914,-3.19281905,6.11378258
2294,7.22401839,10.33615805,9.91035448,10.08538251,10.06540388,9.89073309,9.79566432,8.05201694,-8.44219419,6.30836955,8.05201694,7.11594970,-4.53214421,6.17988246,7.55278108,6.84828960,-3.41092693,6.14379813
2295,7.31645024,10.47828294,10.11737205,10.32717326,10.30148409,10.14182118,10.03147170,8.19578111,-8.94055043,6.36009052,8.19578111,7.20299191,-4.83528212,6.21020272,7.66629354,6.91662932,-3.65116583,6.16696510
2296,7.35082866,10.56088133,10.30518841,10.56202235,10.54440048,10.39188073,10.23363194,8.26703762,-8.83077279,6.30044330,8.26703762,7.23022445,-4.65569405,6.19341129,7.71407060,6.93569501,-3.49520891,6.15731941
2297,6.69811212,7.45145841,6.54388315,6.48907460,6.42672004,5.81642184,5.02092095,6.96138934,1.98867899,8.90185772,6.96138934,6.70617886,-0.26155114,6.45096838,6.82527708,6.55278075,-0.27926646,6.28028441
2298,6.52127437,7.42846581,6.69420971,6.51933673,6.48108421,5.95961394,5.34532415,6.64387446,1.64285547,7.94242478,6.64387446,6.54785764,-0.12147529,6.45184081,6.59266549,6.43968452,-0.19354322,6.28670356
2299,6.38592288,6.79804617,6.07404468,5.63951329,5.59782830,5.04905408,4.49536013,6.36461768,2.38957685,8.23387523,6.36461768,6.44006282,0.09644576,6.51550796,6.40485509,6.36428608,-0.05186164,6.32371708
2300,6.31158413,6.71297467,6.09987070,5.57532496,5.55176167,4.95296393,4.50126064,6.23657687,2.21795310,7.97189309,6.23657687,6.37153964,0.17249946,6.50650242,6.30855701,6.31504369,0.00829079,6.32153036
2301,6.27046621,6.56422990,5.73197043,5.73197043,5.70717035,4.73262929,4.18540774,6.18105407,1.83200129,8.17670040,6.18105407,6.33066564,0.13734327,6.48027722,6.26084691,6.28145969,0.01892252,6.30207248
2302,6.22879440,6.41526175,5.54712217,5.54712217,5.52208406,4.35083006,4.03307958,6.10963426,1.82404481,8.18618893,6.10963426,6.29317135,0.16121891,6.47670844,6.20752071,6.25310718,0.04004314,6.29869366
2303,6.18868369,6.18573525,5.33625364,5.33625364,5.31104370,4.02535178,3.93097294,6.03603838,1.88841318,8.14110382,6.03603838,6.25820936,0.19930526,6.48038034,6.15452957,6.22771697,0.06565499,6.30090437
2304,6.15228835,6.13421924,5.33132447,5.33132447,5.30782235,3.98158661,3.93128739,5.97021777,1.93329879,8.00914814,5.97021777,6.22570649,0.24225253,6.48119521,6.10647842,6.20464255,0.09307851,6.30280668
2305,6.11568477,6.01024733,5.26915598,5.26915598,5.24748467,3.91997327,3.90045558,5.90138482,2.05278185,7.90231405,5.90138482,6.19368583,0.29987578,6.48598685,6.05727869,6.18243457,0.12839920,6.30759044
2306,6.07786423,5.87053007,5.19750615,5.19750615,5.17766385,3.88388760,3.86614354,5.82920940,2.21419766,7.79227526,5.82920940,6.16072317,0.37392378,6.49223693,6.00601674,6.15997565,0.17365462,6.31393455
2307,6.04927042,5.93938637,5.27135240,5.25546937,5.23604580,3.89971207,3.85783728,5.78086686,2.18820061,7.70389643,5.78086686,6.13385999,0.40166818,6.48685312,5.96912986,6.14085964,0.19541000,6.31258943
2308,5.80063071,4.56541193,4.35471610,4.31948763,4.31117555,3.88728076,3.81477104,5.32862098,5.41723704,6.84247093,5.32862098,5.90323262,2.05621929,6.47784426,5.63508052,5.98983092,1.26945670,6.34458131
2309,5.95817448,7.29227762,7.12482644,6.26138379,6.25537646,5.92944630,5.73538852,5.80836229,0.33399713,5.88133606,5.80836229,5.98103687,0.79032258,6.15371146,5.90045540,6.02413914,0.56609403,6.14782288
2310,6.22022934,8.38226338,8.09878679,7.65395969,7.64131474,7.33846813,7.13252918,6.37812628,-3.48719512,5.62372338,6.37812628,6.18693402,-0.88377806,5.99574175,6.27615707,6.15631194,-0.55397902,6.03646680
2311,6.43466471,9.19082127,8.79251857,8.80095924,8.77611745,8.43843868,8.21029581,6.82282808,-5.59496948,5.43536035,6.82282808,6.36151885,-1.86023143,5.90020961,6.57679649,6.27222839,-1.22817214,5.96766030
2312,6.57886347,9.43145707,8.99210329,9.07684326,9.05065575,8.75413337,8.56008297,7.07553227,-6.17930769,5.59098157,7.07553227,6.49354287,-2.42247809,5.91155348,6.76513793,6.36597838,-1.66146542,5.96681883
2313,6.71216311,9.65473243,9.16101902,9.24681009,9.22136604,9.00168225,8.83431077,7.29186406,-6.75369005,5.74941736,7.29186406,6.61964786,-2.94333664,5.94743165,6.93334875,6.45937952,-2.07530105,5.98541029
2314,6.88442910,9.86361275,9.37751632,9.58645249,9.55811716,9.40198115,9.27553678,7.57495308,-7.95783906,5.87436939,7.57495308,6.78024803,-3.71880252,5.98554297,7.15111039,6.57965048,-2.67413239,6.00819058
2315,7.09496902,10.08068032,9.68350629,10.08489898,10.05288644,9.93956327,9.83549683,7.91867923,-9.52356744,6.00186162,7.91867923,6.97629489,-4.68216731,6.03391056,7.41607425,6.72799162,-3.41868798,6.03990899
2316,7.28075043,10.22078781,9.79488375,10.28376438,10.25536732,10.17573375,10.08969914,8.17679210,-10.23531138,6.26388506,8.17679210,7.16099483,-5.43518376,6.14519757,7.63503356,6.87585543,-4.06210251,6.11667731
2317,7.45868387,10.52653840,10.13046609,10.61203907,10.59377346,10.54038896,10.46674777,8.43855618,-11.12064476,6.41036458,8.43855618,7.33258414,-6.06408297,6.22661211,7.84870442,7.01294610,-4.58249187,6.17718777
2318,7.65554528,10.78416772,10.42765711,10.93430419,10.91758382,10.88601139,10.80619600,8.71316613,-12.11623036,6.62013626,8.71316613,7.52594062,-6.87266722,6.33871511,8.07997919,7.17047795,-5.26496386,6.26097670
2319,7.83410198,10.98116933,10.68494985,11.25075539,11.22961243,11.21253012,11.12170866,8.95923835,-12.84940725,6.79676805,8.95923835,7.70126040,-7.47491004,6.44328245,8.28831678,7.31499936,-5.78345602,6.34168194
2320,7.93259611,11.22751263,11.02344008,11.54754880,11.53345227,11.52566794,11.39907110,9.11169563,-12.89545628,6.82432015,9.11169563,7.79309566,-7.43382468,6.47449569,8.40844231,7.38877187,-5.74856016,6.36910144
2321,7.05392515,8.39696789,7.58660278,8.39160207,8.33541410,8.31932368,7.60328629,7.59741027,-0.00677336,7.59153426,7.59741027,7.01013437,-0.67696126,6.42285846,7.28419646,6.79075794,-0.56879357,6.29731943
2322,6.78593061,8.45280565,7.48858592,7.55608926,7.50577435,7.46486571,6.65578300,7.13898687,0.46767138,7.62219074,7.13898687,6.76941152,-0.35769542,6.39983618,6.94188002,6.60770271,-0.32343525,6.27352539
2323,6.62001191,7.71040881,6.54028905,6.51884712,6.45195137,6.33878531,5.44173774,6.83084871,1.10327624,8.21995968,6.83084871,6.62926484,-0.16010434,6.42768098,6.72333732,6.50192573,-0.17585214,6.28051415
2324,6.53063582,7.62859066,6.58503735,6.49657072,6.45587504,6.24799546,5.47727420,6.68872168,0.91345536,7.90016916,6.68872168,6.54493439,-0.10841846,6.40114710,6.61203512,6.43760805,-0.13152146,6.26318098
2325,6.45875450,7.34806603,6.24355714,6.24355714,6.21142441,5.82336852,5.09539994,6.56303548,1.01825302,8.03067102,6.56303548,6.48140722,-0.05663410,6.39977896,6.51950041,6.38933060,-0.09031247,6.25916080
2326,6.40478413,7.22303370,6.05872927,6.05872927,6.02437309,5.44482096,5.01781300,6.47443217,0.95738915,7.93105133,6.47443217,6.43141730,-0.02827229,6.38840244,6.45149090,6.35140495,-0.06578329,6.25131900
2327,6.35634599,6.95122074,5.68023985,5.68023985,5.64293779,4.83522092,4.69397135,6.38855432,1.01977774,8.08313729,6.38855432,6.38895310,0.00023998,6.38935187,6.38876700,6.31929341,-0.04180829,6.24981982
2328,6.31780467,6.96727617,5.78590318,5.78590318,5.75158982,4.87318074,4.79910163,6.32395772,0.98626263,7.84881381,6.32395772,6.35326173,0.01895356,6.38256575,6.33958653,6.29291111,-0.03018922,6.24623569
2329,6.28102829,6.83274962,5.66861158,5.66861158,5.63431442,4.66224945,4.63156869,6.25663555,1.06490022,7.88170241,6.25663555,6.32138175,0.04242794,6.38612795,6.29116685,6.26944136,-0.01423664,6.24771587
2330,6.24628403,6.70095673,5.56567485,5.56567485,5.53274613,4.49581154,4.46588891,6.19084307,1.15776618,7.91579722,6.19084307,6.29198159,0.06788282,6.39312011,6.24478361,6.24799879,0.00215798,6.25121396
2331,6.21804590,6.75813777,5.67830892,5.67830892,5.64647930,4.64091687,4.57324808,6.14468001,1.11059613,7.71611195,6.14468001,6.26521857,0.08518960,6.38575712,6.20896724,6.22842151,0.01374914,6.24787577
2332,6.18495793,6.67623242,5.67102272,5.67102272,5.63214151,4.75036742,4.40697956,6.07990142,1.26936194,7.75282328,6.07990142,6.23775802,0.11977676,6.39561462,6.16409160,6.20880517,0.03392728,6.25351873
2333,6.14001824,7.12738748,6.72976442,6.05163337,6.03718398,5.73169757,5.27080184,6.01264850,1.42544995,6.75449516,6.01264850,6.18777791,0.33650917,6.36290732,6.10605085,6.17883811,0.13985988,6.25162536
2334,5.99184058,5.31717912,5.00630757,4.75546674,4.74011748,4.53048664,4.14623813,5.67420315,3.71576632,7.20216816,5.67420315,6.07715877,0.97992357,6.48011439,5.88911281,6.10924375,0.53532321,6.32937469
2335,6.16256443,8.40112378,7.82465254,7.74366407,7.71749640,7.44184924,6.94642613,6.19006072,-1.39546525,5.43369531,6.19006072,6.15900224,-0.05730171,6.12794376,6.17349620,6.15007098,-0.04321863,6.12664576
2336,6.28170997,9.01770986,8.42946439,8.42099801,8.39278730,8.20670941,7.85283355,6.50640380,-3.05956763,5.15997405,6.50640380,6.23361926,-0.61986356,5.96083473,6.36091871,6.19118568,-0.38569385,6.02145266
2337,6.41276677,9.40264916,8.81870049,8.81870049,8.79705679,8.68131128,8.41430623,6.79725881,-4.42418401,5.18021139,6.79725881,6.33547797,-1.26341591,5.87369712,6.55097569,6.25481372,-0.81028859,5.95865174
2338,6.52452415,9.70337186,9.13883602,9.16328137,9.13870666,9.08141116,8.87332738,7.02749698,-5.23206292,5.18166659,7.02749698,6.42771424,-1.70010260,5.82793149,6.70761285,6.31527991,-1.11207977,5.92294697
2339,6.61838611,9.87738560,9.32978965,9.40517644,9.38381369,9.36413397,9.18673015,7.20882667,-5.73864996,5.23092319,7.20882667,6.50888390,-2.03080008,5.80894113,6.83552386,6.37022868,-1.34999823,5.90493349
2340,6.69201536,10.00709492,9.46759292,9.54850186,9.52832981,9.52110809,9.36567475,7.34061398,-5.96825649,5.31555320,7.34061398,6.57575973,-2.25417744,5.81090548,6.93269171,6.41695667,-1.51997363,5.90122163
2341,6.74334014,10.17154510,9.62806703,9.63348810,9.61661448,9.61227839,9.47505455,7.42804269,-5.98538778,5.38103083,7.42804269,6.62360651,-2.35214195,5.81917034,6.99901006,6.45114595,-1.60193463,5.90328183
2342,6.44423875,8.48779201,7.19296893,7.19296893,7.15741257,7.14471986,6.77298798,6.74228457,-0.03735506,6.71158117,6.74228457,6.40705186,-0.40785828,6.07181916,6.56349379,6.30794727,-0.31090870,6.05240075
2343,6.40665279,8.78434210,7.74317273,7.74317273,7.71292220,7.70785708,7.35877132,6.69149541,-1.01086731,6.02421950,6.69149541,6.36563614,-0.49364960,6.03977687,6.51770380,6.27973734,-0.36049932,6.04177089
2344,6.33087563,8.28891873,7.17447919,7.17447919,7.15055760,7.16109435,6.56130226,6.51827995,-0.04992934,6.47525764,6.51827995,6.31097229,-0.24058993,6.10366464,6.40771587,6.24305823,-0.19109266,6.07840058
2345,6.28308837,8.04605478,7.17695741,7.17695741,7.14560868,7.13839841,6.21315152,6.41859558,0.18161975,6.62403965,6.41859558,6.27317071,-0.12856068,6.12774583,6.34103565,6.21686292,-0.10977305,6.09269018
2346,6.25179408,7.92757962,7.03508228,7.03508228,7.00276336,6.95906382,6.05279031,6.35341071,0.25860171,6.65403112,6.35341071,6.24822821,-0.09048080,6.14304570,6.29731338,6.19977202,-0.08390768,6.10223066
2347,6.21095231,7.38662873,6.30042816,6.30042816,6.26174574,6.19470973,5.18675250,6.24929362,0.74927247,7.31183474,6.24929362,6.22332198,-0.01831443,6.19735034,6.23544208,6.18296400,-0.03700598,6.13048593
2348,6.18937937,7.34152099,6.25231145,6.25231145,6.20593015,6.02206004,5.19751352,6.20415896,0.70750098,7.21080439,6.20415896,6.20617012,0.00141351,6.20818129,6.20523158,6.17126255,-0.02387446,6.13729353
2349,6.16629381,7.08286761,5.94921638,5.94921638,5.91544030,5.58721353,4.83962612,6.14785858,0.88130332,7.45609104,6.14785858,6.19102886,0.02908207,6.23419913,6.17088273,6.16104934,-0.00662436,6.15121594
