Hour,Zone0_t_eft,Zone1_t_eft,Zone2_t_eft,Zone3_t_eft,Zone4_t_eft,Zone5_t_eft,GHX0_t_eft,GHX0_t_mean,GHX0_q_ghe,GHX0_t_exit,GHX1_t_eft,GHX1_t_mean,GHX1_q_ghe,GHX1_t_exit,GHX2_t_eft,GHX2_t_mean,GHX2_q_ghe,GHX2_t_exit
23,5.08993466,4.54587319,4.38678833,3.51729846,3.51309360,3.10084560,3.04263109,4.39744002,6.28379479,5.75224895,4.39744002,5.17591936,3.61069690,5.95439870,4.81262900,5.40685541,2.75610583,6.00108181
24,5.08364144,4.51934140,4.35389936,3.53046524,3.52565718,3.06589009,3.04743938,4.39609272,6.02003395,5.74474605,4.39609272,5.16846348,3.44766003,5.94083424,4.80802379,5.39863303,2.63632442,5.98924228
25,5.03742348,4.49363535,4.33809053,3.47299237,3.46836344,3.01825064,3.00844076,4.34060359,6.32110631,5.67276641,4.34060359,5.12099226,3.70294056,5.90138093,4.75681088,5.35812360,2.85322604,5.95943633
26,5.02054732,4.45527573,4.29757666,3.47243894,3.46785433,2.99737968,2.99317285,4.32330220,6.22708520,5.65343155,4.32330220,5.10339469,3.65205264,5.88348718,4.73935153,5.34191394,2.82093424,5.94447634
27,4.96605355,4.42265353,4.27532893,3.40642213,3.40203572,2.94811239,2.94418474,4.25781935,6.58482372,5.57145395,4.25781935,5.04756454,3.95873619,5.83730973,4.67901678,5.29409558,3.08319029,5.90917438
28,4.96851840,4.48436148,4.32908037,3.45437596,3.44987297,2.95845631,2.94867506,4.26561522,6.26529155,5.58255538,4.26561522,5.04959622,3.72975911,5.83357722,4.68373842,5.29398122,2.90320639,5.90422403
29,3.34728485,1.75824149,1.71745707,1.45918433,1.45756394,1.32692722,1.31289142,2.46099090,20.41451652,3.60909037,2.46099090,3.39882842,16.67581944,4.33666594,2.96117091,3.78855793,14.71188382,4.61594496
30,3.27865553,2.61066801,2.56292606,1.61224700,1.61050942,1.46113593,1.40592006,2.45558561,16.02812909,3.50525115,2.45558561,3.32251671,13.23782014,4.18944782,2.91794886,3.69089172,11.80264327,4.46383458
31,3.80745999,3.32313898,3.18232195,2.22432861,2.21808789,1.94749704,1.84586430,3.01032661,10.30422060,4.17478892,3.01032661,3.86507110,7.56355593,4.71981559,3.46619034,4.19748246,6.47113721,4.92877459
32,4.19041494,3.74106960,3.48890787,2.70161218,2.68597181,2.29622179,2.15296956,3.42150346,7.66744741,4.69003736,3.42150346,4.25847556,5.05894211,5.09544765,3.86788858,4.55901651,4.17741070,5.25014444
33,4.54026154,4.47648754,4.07369028,3.40431177,3.38042768,2.89522437,2.71895731,3.87094017,4.98049889,5.02292302,3.87094017,4.60367920,3.16793424,5.33641823,4.26173432,4.85857836,2.58040394,5.45542241
34,4.75759719,4.95908614,4.36694983,3.73090492,3.70056835,3.15925154,2.96064217,4.13575462,4.09272842,5.31086706,4.13575462,4.82269662,2.39250899,5.50963863,4.50212369,5.04956692,1.90665708,5.59701014
35,4.94129717,5.49129415,4.71194389,4.11198907,4.06696443,3.45035695,3.25027216,4.37744376,3.14572583,5.50461537,4.37744376,5.00384545,1.74817032,5.63024713,4.71152466,5.20389432,1.37411192,5.69626397
36,5.09799683,5.96490355,5.27212787,4.73573931,4.68038144,4.10181806,3.92265925,4.64245376,1.96329858,5.36224827,4.64245376,5.14175695,1.36189040,5.64106013,4.90874880,5.31428031,1.10612047,5.71981182
37,5.27147901,6.64313934,5.76195774,5.61362476,5.55537465,4.97453679,4.79872823,4.96342612,0.40939193,5.12812402,4.96342612,5.28781556,0.80633949,5.61220499,5.13643382,5.42581637,0.71932236,5.71519892
38,5.41938016,7.16322661,6.31923307,6.24061194,6.20189363,5.65419614,5.49905073,5.24170373,-0.63732143,4.98435673,5.24170373,5.41213412,0.42207192,5.58256451,5.33259993,5.51855757,0.46052523,5.70451520
39,5.51059557,7.29106616,6.56186202,6.33706505,6.30310578,5.79999657,5.63862413,5.38869991,-0.68024338,5.13877568,5.38869991,5.49760911,0.29642889,5.60651831,5.44678481,5.58352214,0.37217145,5.72025947
40,5.53796284,7.07284748,6.43229796,6.11551988,6.07014383,5.49513486,5.30130255,5.37993921,0.20737773,5.45857586,5.37993921,5.53863415,0.41850455,5.69732910,5.46457651,5.62183293,0.41471090,5.77908934
41,5.58088921,7.05439312,6.64289266,6.23685439,6.20861208,5.63374861,5.38166461,5.43541564,0.14402625,5.48916666,5.43541564,5.58159206,0.39168076,5.72776848,5.51337640,5.65804670,0.38764511,5.80271701
42,5.42832363,5.45041991,5.07273624,4.21343365,4.18760977,3.54017624,3.21123783,4.97230580,4.19516291,6.73337378,4.97230580,5.50524306,1.26954704,6.03818032,5.25653901,5.62464892,0.87690031,5.99275883
43,5.39270191,5.55111653,5.20768027,4.35317635,4.33521994,3.70079637,3.41524973,4.89945713,3.88874809,6.38366454,4.89945713,5.47197663,1.50004918,6.04449612,5.20480086,5.60744596,1.05496398,6.01009105
44,5.31868104,5.22677817,4.92940204,4.02760454,4.01050068,3.41468983,3.18812649,4.75229955,4.72173964,6.31647261,4.75229955,5.40800009,1.97935082,6.06370062,5.10200650,5.56630909,1.40158146,6.03061169
45,5.29926567,5.18493089,4.93956402,4.01994453,4.01045195,3.39152359,3.21138870,4.71501054,4.65922455,6.21863238,4.71501054,5.38864674,2.08737480,6.06228295,5.07428318,5.55638851,1.49388426,6.03849384
46,5.42376867,5.06970410,4.67352693,4.62953693,4.61771442,3.50859896,3.24844380,4.89636116,3.08334260,6.54427852,4.89636116,5.51071109,1.14948198,6.12506102,5.22401446,5.65205920,0.80089489,6.08010395
47,5.42626174,5.03388295,4.70092256,4.42047916,4.41059680,3.41071857,3.28885850,4.88279077,3.54534505,6.47672304,4.88279077,5.51604780,1.40853833,6.14930484,5.22052785,5.66138619,0.98059054,6.10224452
48,5.40805122,4.99171028,4.69526252,4.29074844,4.28206382,3.34315139,3.31012379,4.84745598,3.84657911,6.38478816,4.84745598,5.49878048,1.62968763,6.15010499,5.19482905,5.65173370,1.14322716,6.10863836
49,5.37865372,4.96576601,4.69619397,4.19668097,4.18867974,3.31441488,3.29745157,4.79925038,4.13497801,6.30104920,4.79925038,5.46993410,1.84662712,6.14061781,5.15694836,5.63203127,1.30806959,6.10711417
50,5.35339373,4.91011430,4.65379204,4.13788547,4.13039702,3.28636997,3.27954781,4.76048291,4.28656006,6.24141801,4.76048291,5.44467410,1.98038836,6.12886529,5.12538488,5.61397528,1.41422275,6.10256568
51,5.31324513,4.86723902,4.63258596,4.04183671,4.03486843,3.25418194,3.24793102,4.70183504,4.59191439,6.15573906,4.70183504,5.40439326,2.21891347,6.10695148,5.07653276,5.58377356,1.60203584,6.09101436
52,5.30563316,4.91391705,4.67217523,4.06915595,4.06210202,3.25756338,3.24233587,4.69254169,4.44640283,6.14274751,4.69254169,5.39613897,2.15726411,6.09973626,5.06779357,5.57744983,1.56263131,6.08710609
53,4.38792302,2.85483911,2.78582054,2.57612750,2.57339175,2.34775060,2.32402295,3.56814427,13.20021533,4.81226558,3.56814427,4.46110799,9.47440839,5.35407171,4.04439158,4.78053037,7.81048473,5.51666916
54,4.48105011,4.15021066,4.05909081,3.01394230,3.01064022,2.72823917,2.62309760,3.73977610,9.04977791,4.85645459,3.73977610,4.54479370,6.52401797,5.34981131,4.16911882,4.83754302,5.41703864,5.50596722
55,4.82412311,5.13404671,4.86444179,3.77739793,3.76545288,3.27316671,3.07897283,4.17823015,5.14617191,5.27748746,4.17823015,4.88887092,3.32686400,5.59951169,4.55723856,5.12913403,2.67732803,5.70102951
56,5.05586057,5.78652730,5.39061076,4.65292475,4.62836751,4.02108421,3.79644963,4.54819122,2.93655394,5.29993280,4.54819122,5.10217957,2.16406372,5.65616793,4.84365167,5.29838502,1.77634048,5.75311837
57,5.25524871,6.43655365,5.93901242,5.46904868,5.43953240,4.82839524,4.61048703,4.90518563,1.04561115,5.19988423,4.90518563,5.27606771,1.31591546,5.64694980,5.10298941,5.42925935,1.15762848,5.75552930
58,5.40847916,6.90910554,6.32135991,5.99865551,5.96847320,5.40240076,5.20472896,5.18575226,-0.06749402,5.16677556,5.18575226,5.40937733,0.79536254,5.63300240,5.30501897,5.52671937,0.78851713,5.74841978
59,5.54303989,7.27667272,6.67170467,6.41558221,6.38050785,5.85084964,5.69477070,5.43110502,-0.95953617,5.16743934,5.43110502,5.52752469,0.35089192,5.62394435,5.48252884,5.61219536,0.47188438,5.74186188
60,5.68016283,7.63553473,7.11737335,6.89265733,6.85109363,6.34852893,6.21399203,5.68298341,-1.95942411,5.15197478,5.68298341,5.64749034,-0.13096958,5.61199727,5.66405377,5.69857320,0.12737684,5.73309262
61,5.80544695,7.95902806,7.36671919,7.27303522,7.23381176,6.74564277,6.62706097,5.90477248,-2.69544222,5.18248398,5.90477248,5.75970731,-0.54135540,5.61464214,5.82740439,5.78035274,-0.17558774,5.73330109
62,5.90482952,8.12401797,7.58282736,7.44208781,7.41719521,6.93863851,6.83891773,6.06519248,-3.00947042,5.29146724,6.06519248,5.85365418,-0.82279631,5.64211587,5.95237205,5.85049519,-0.39625878,5.74861832
63,5.99176842,8.25520552,7.76162868,7.60123234,7.57819429,7.11635402,7.00686768,6.19976369,-3.26925739,5.39265969,6.19976369,5.93727591,-1.06323365,5.67478812,6.05977021,5.91405209,-0.59024616,5.76833397
64,6.08543336,8.44562590,8.02901563,7.88533840,7.85575581,7.40528482,7.27873196,6.35475221,-3.78175294,5.43077246,6.35475221,6.02384876,-1.35435336,5.69294532,6.17827037,5.97933392,-0.81422619,5.78039747
65,6.13995997,8.52415333,8.23017788,8.07006870,8.04984927,7.59442841,7.41372045,6.43710110,-3.69992603,5.46048175,6.43710110,6.07567158,-1.36927708,5.71424206,6.24433869,6.02067000,-0.84736969,5.79700130
66,5.77407875,5.77249108,5.35526567,4.60006805,4.57149131,3.82484870,3.46110669,5.48491628,4.37948508,7.50872588,5.48491628,5.84355273,0.77608238,6.20218917,5.67618905,5.88595268,0.45392446,6.09571631
67,5.68195796,5.84891670,5.45947082,4.72190061,4.70161777,3.99381130,3.66981460,5.30787374,3.79658765,6.94593289,5.30787374,5.75948741,1.04672097,6.21110107,5.54873436,5.83421351,0.66166511,6.11969265
68,5.58703926,5.48640690,5.13942392,4.34639201,4.32638387,3.68110842,3.41691447,5.11932215,4.42274892,6.82172984,5.11932215,5.67730832,1.44961324,6.23529449,5.41691478,5.78146725,0.94708457,6.14601972
69,5.54660542,5.42260929,5.13392761,4.31297776,4.30184790,3.63754881,3.42526717,5.04887096,4.28377792,6.67247475,5.04887096,5.63796648,1.55429199,6.22706200,5.36305524,5.75637705,1.03775521,6.14969886
70,5.61234470,5.24489551,4.81325043,4.81325043,4.80026748,3.68754267,3.40401804,5.15597550,3.01676575,6.90793297,5.15597550,5.69993997,0.93667421,6.24390443,5.44608988,5.80235019,0.61345890,6.15861050
71,5.60533317,5.15736391,4.76452103,4.68472709,4.67327349,3.57198866,3.42829143,5.13393510,3.22638360,6.83957876,5.13393510,5.69522720,1.06173620,6.25651930,5.43329089,5.80195293,0.69735854,6.17061497
72,5.57830807,5.10070113,4.75122090,4.53199834,4.52156632,3.48581896,3.44688965,5.08386342,3.48379926,6.72083719,5.08386342,5.66999529,1.24740286,6.25612716,5.39646708,5.78612634,0.82927084,6.17578559
73,5.55796560,5.06892638,4.73160902,4.49143627,4.48148170,3.46091565,3.43966325,5.04820399,3.54349028,6.65674474,5.04820399,5.65044747,1.32669558,6.25269094,5.36940051,5.77346856,0.89013051,6.17753660
74,5.52190613,5.03111767,4.72535641,4.37055134,4.36155254,3.42710724,3.41896654,4.98822281,3.81370314,6.55747909,4.98822281,5.61562339,1.52474749,6.24302397,5.32283646,5.74941432,1.03669577,6.17599219
75,5.48946753,4.97237254,4.68247120,4.30742546,4.29884158,3.40083379,3.39312029,4.93697238,3.95907262,6.48082447,4.93697238,5.58368529,1.65843826,6.23039820,5.28188593,5.72670365,1.14069584,6.17152137
76,5.46327601,5.04717715,4.76520241,4.28379299,4.27555475,3.39464832,3.37690589,4.89783221,4.01154826,6.41875853,4.89783221,5.55732468,1.73945694,6.21681714,5.24956152,5.70752114,1.20790012,6.16548075
77,4.84264158,3.36982099,3.27595121,3.11039573,3.10667414,2.81566361,2.78336850,4.08533353,10.19880631,5.38729855,4.08533353,4.92728008,6.59529993,5.76922664,4.53437169,5.19495003,5.17457102,5.85552836
78,4.92413016,4.95392575,4.83208965,3.65513859,3.65077948,3.29061017,3.15004741,4.25775096,6.75227857,5.36545451,4.25775096,4.99436457,4.49020884,5.73097817,4.65061155,5.23672285,3.57278514,5.82283415
79,5.21378560,6.14756726,5.88924615,4.99517200,4.98365145,4.53312074,4.34671349,4.79900029,2.22818563,5.25128709,4.79900029,5.24447882,2.19464481,5.68995736,5.03658884,5.41629617,1.87062372,5.79600350
80,5.43701035,6.83241658,6.48324265,5.93849959,5.91680095,5.39791425,5.19926214,5.20809806,0.03944343,5.21693397,5.20809806,5.43983660,1.03447872,5.67157514,5.33169195,5.55737425,1.00744373,5.78305656
81,5.59302536,7.24785662,6.85165526,6.41853849,6.39503757,5.88937926,5.71552701,5.48753857,-1.02237838,5.25955013,5.48753857,5.57919819,0.41103315,5.67085780,5.53642370,5.65771297,0.54390271,5.77900225
82,5.72794611,7.58173982,7.11947256,6.78729497,6.76351017,6.28609417,6.13035177,5.72375845,-1.84862579,5.31716514,5.72375845,5.70138067,-0.10174329,5.67900289,5.71182363,5.74637180,0.15707741,5.78091996
83,5.86933899,7.94674469,7.45002158,7.23338160,7.20455683,6.74067711,6.61232351,5.97409629,-2.84451316,5.33586906,5.97409629,5.82794686,-0.65137298,5.68179743,5.89614993,5.83869793,-0.25605766,5.78124593
84,5.99848295,8.23103305,7.79683763,7.60955861,7.57469989,7.11799176,7.00507198,6.19531583,-3.58255441,5.38555967,6.19531583,5.94565938,-1.10453967,5.69600293,6.06216572,5.92570264,-0.60374522,5.78923956
85,6.10992767,8.47804037,7.97326393,7.88931460,7.85587269,7.40506396,7.30390130,6.37864940,-4.07020609,5.45339751,6.37864940,6.04923992,-1.44908051,5.71983044,6.20296435,6.00360005,-0.87700852,5.80423575
86,6.20604039,8.65277625,8.17684715,8.07248539,8.05057546,7.60765164,7.51985846,6.52931562,-4.40100622,5.53877279,6.52931562,6.14060018,-1.72707231,5.75188473,6.32200072,6.07351430,-1.10403126,5.82502789
87,6.28956786,8.78481585,8.33981140,8.23103403,8.21023515,7.77870158,7.67986309,6.65430922,-4.62742962,5.62875534,6.65430922,6.22148462,-1.95295966,5.78866003,6.42346943,6.13653749,-1.29467346,5.84960554
88,6.37475686,8.95318073,8.57112332,8.47897529,8.45183818,8.02890532,7.91274102,6.79084820,-5.02918132,5.66895538,6.79084820,6.30103375,-2.19572281,5.81121931,6.52961383,6.19777746,-1.48754427,5.86594110
