Time Step,HP1,HP2,HP3,HP4,HP5,HP6
2,0.736653073,0.6942549259999999,0.736924706,0.6942549259999999,0.74053028,0.6942549259999999
3,0.7363370432687714,0.6935813876450903,0.7359038548510131,0.6929960180406419,0.7391150007953355,0.6927803666950009
4,0.7362364222926994,0.6934983042681236,0.735800102577579,0.6929616924309785,0.739076440200442,0.6927460224798777
5,0.7361568634135166,0.693451571079789,0.735748520167965,0.6929103658616005,0.7390191225947625,0.6927082200102173
6,0.7361185972918796,0.6934168874396576,0.7357006221305415,0.6928982396477549,0.7390053756664176,0.6926913497801185
7,0.7360378751864973,0.693375184832272,0.7356635777219488,0.6928515148878783,0.738952548586107,0.6926663087731549
8,0.7360332525054734,0.6935071607014341,0.7358180420447021,0.6929496128088997,0.7390630141913044,0.692747914483611
9,0.7360441952411129,0.6936251670717918,0.735953738440814,0.6929918666874331,0.7391102614260493,0.69278150204602
10,0.7360636493251629,0.6937113158577317,0.7359899926126412,0.6930436169064723,0.7391678728594828,0.6927993855305294
11,0.736070898515267,0.6937652822436141,0.7359907705202164,0.6930443706107442,0.7391687091347757,0.6927953997205346
12,0.7360902970078971,0.693824081903991,0.7359718665753124,0.6930690173084503,0.7391959238051844,0.6928025510244883
13,0.7361084427551833,0.6938884141767118,0.7360248593186609,0.6930839310780079,0.7392115695419701,0.692808984957755
14,0.7361375590270689,0.6939695059459866,0.7360728882416276,0.6931359148390733,0.7392690763490597,0.6928315978168118
15,0.7361458878919426,0.6940102580588361,0.7361217873154439,0.6931345634854246,0.7392659856367967,0.6928321087904457
16,0.7361569322416589,0.6940439332600643,0.7361518847247919,0.6931636400345191,0.7393001238604117,0.6928512808639405
17,0.7361406746465117,0.6940152817955009,0.7361594211253923,0.693124592077082,0.7392578071777675,0.6928415614662632
18,0.7361300167213133,0.6939936582161841,0.7361389146892919,0.6931048635565796,0.7392358751070479,0.6928315408474278
19,0.7360610747352928,0.6936315245638084,0.7358366181458389,0.6929356463118368,0.7390468786634878,0.6927403261473541
20,0.7360319893798231,0.6934851620042654,0.7357661672363899,0.6929155513983545,0.7390244836392867,0.6927330649824482
21,0.7359954938053704,0.6934730609110127,0.7357619888410173,0.6928833310701961,0.7389885196629722,0.6927097696505382
22,0.7359525693692325,0.6933424877010052,0.7356077673544725,0.6928242421598774,0.738922503909325,0.6926590355955509
23,0.735912599434147,0.693326896755934,0.7355961652635582,0.6927918396639476,0.7388854598405478,0.6926311520411012
24,0.7358868638666135,0.6932750118893644,0.7355325250222728,0.6927772329678972,0.7388699792929933,0.692607910033261
25,0.7358483658448869,0.6932499834273971,0.7355085106319362,0.6927432695601007,0.7388320091763215,0.6925753656549198
26,0.7358438378477729,0.6932352034261745,0.7354855801122586,0.6927487041800979,0.7388378080715468,0.6925619837168883
27,0.7358104960443537,0.693221442682819,0.7354752465808431,0.6927246569404579,0.738810947953285,0.6925448520610654
28,0.7357984379205178,0.6932004355459834,0.7354474414931178,0.6927242366276265,0.7388104970250544,0.6925369777096803
29,0.7357596422580511,0.6931831777123144,0.7354329379151464,0.6926970841335729,0.738780163317698,0.6925196981674968
30,0.7357612853994724,0.6932170223359213,0.7354700159600741,0.6927178010388569,0.7388033271741059,0.6925241750226352
31,0.7348028127884133,0.6921781930363474,0.7342199129700457,0.6921198127893304,0.7381341237664881,0.692097678219964
32,0.7347684474954661,0.6924111030524365,0.7345135482343258,0.6921533479692801,0.7381716921657511,0.6921251935266295
33,0.7350355478856592,0.6926678028695324,0.7347932099012329,0.6922945897996136,0.7383286671847274,0.6922243234161722
34,0.7352537416571202,0.6928468097659825,0.7349533664992206,0.6924369582240575,0.7384845480094362,0.6923135423926071
35,0.7354709574395781,0.6932151024663934,0.7353034276323652,0.6926997778407507,0.738774153561622,0.6925045689657938
36,0.7356147199144145,0.6934915541502068,0.7354987141117668,0.6928422449086545,0.7389297140170292,0.692602881412539
37,0.7357418455037977,0.6938313036612158,0.7357446718911969,0.69302186797723,0.7391214370514055,0.6927168133183899
38,0.7358537317955551,0.6941589189762224,0.7361859504542628,0.6933589134613909,0.7394892924971816,0.6930183839412037
39,0.7359820934809548,0.6946882597184452,0.7366156358840327,0.6939130531552967,0.7401018583575675,0.6934980363461017
40,0.736094715801515,0.6951296288729318,0.737150884427551,0.694368572725672,0.7406245654889336,0.6939399020250858
41,0.7361657089359592,0.6952441804131665,0.7374001928289023,0.6944429459136928,0.7407116037080294,0.6940418195033646
42,0.7361872275913367,0.6950470272136768,0.7372628936855672,0.6942716949430185,0.7405110263150838,0.6938299522447089
43,0.7362212164331273,0.6950304752758547,0.7374815757482561,0.6943632361418886,0.7406276139670787,0.6939241412309974
44,0.7361013217121731,0.6938005588485789,0.7360226543520696,0.6930754316050182,0.7391919904467552,0.6927588620659884
45,0.7360737872338464,0.6938677370160912,0.7361318035492074,0.6931480855269191,0.7392776637947375,0.6928294590392876
46,0.7360172956953746,0.6936556900254488,0.7359095507034326,0.6929817983678748,0.7390923237264698,0.6927049810952172
47,0.7360025966295202,0.6936292249912905,0.7359173752787345,0.692977831450793,0.7390920430681925,0.6926951237266602
48,0.7360979052187525,0.6935563344240361,0.7357132509710329,0.6932959527444256,0.7394467254974,0.692740435702492
49,0.7360999137913018,0.6935341786823097,0.73573334045702,0.6931803901687293,0.7393185598809011,0.6926988616221891
50,0.7360859164832254,0.6935084105136927,0.7357290902467161,0.693111384032738,0.7392420039655009,0.6926708766301296
51,0.7360633566987498,0.693492841063037,0.7357300483376311,0.6930629121582034,0.739188117478418,0.6926594328505927
52,0.736044098488837,0.6934593067350737,0.7356985839385534,0.6930328308002027,0.7391547154733328,0.6926478128177015
53,0.7360136200225045,0.6934339414493924,0.7356832808043234,0.6929851118506681,0.739101555591694,0.6926351483600223
54,0.7360078133831046,0.6934620829032335,0.7357129465916148,0.6929992595188396,0.7391173596732944,0.6926373247630003
55,0.7353766819803974,0.6924796830852944,0.734591097957212,0.6923867267167504,0.7384329825973163,0.692318015484589
56,0.7354333175927855,0.6930433739580906,0.7352939127110735,0.6925459700130151,0.7386112788329603,0.6924460322107234
57,0.7356604250165159,0.6935997246525439,0.7358613547966032,0.6928619617306445,0.7389610568148166,0.6926454518639137
58,0.7358234698292502,0.6940338268496277,0.7362871856876384,0.6933109828362157,0.7394554623115508,0.6929767109960162
59,0.7359699188568729,0.6945191979884567,0.736778694621384,0.6938144270764591,0.7400139003702699,0.6934112610819659
60,0.7360863492457067,0.6949086412498833,0.7371525562115506,0.6941863729039802,0.7404284666746733,0.6937691459315003
61,0.7361912780085488,0.6952318516222118,0.7375166420318722,0.6945046961763764,0.7407795173945875,0.6940780808154356
62,0.7363007763392972,0.6955645854530065,0.7380096458681272,0.694896672091397,0.7412107557038832,0.6944514111269603
63,0.736403090508937,0.6958793074861759,0.7383006169559989,0.6952306469886507,0.7415855450944517,0.6947723237432963
64,0.7364858114655449,0.6960438864461599,0.7385597401768866,0.6953841788486478,0.7417716545503024,0.694934847510138
65,0.7365593147211779,0.696176793063524,0.738779582147227,0.6955318402260859,0.7419387341752134,0.6950885884397141
66,0.7366396770980516,0.6963748287910358,0.7391197108469288,0.6958048861545162,0.7422369850668825,0.695348237959398
67,0.7366870571372792,0.6964572080532953,0.7393829627082472,0.6959876068443088,0.7424517631773948,0.6955238022024396
68,0.7363770286786772,0.6940191945203,0.7362532878108006,0.6932808542196565,0.7394194122722579,0.6928845489143874
69,0.7363018929656457,0.6940732137508132,0.736342573051386,0.6933506916680824,0.7395026217118472,0.6929659102909299
70,0.7362257463787977,0.6938240292820509,0.7360753266280987,0.6931432436312595,0.7392710266433423,0.6928191058772151
71,0.7361936928852586,0.693781819302548,0.7360708674982791,0.6931254927122236,0.7392563954244583,0.6927994846803746
72,0.7362461105386041,0.693665535862115,0.7358167628579854,0.6934007102950879,0.7395632145849977,0.6928178767328964
73,0.7362406115285114,0.6936097126335848,0.7357791302269108,0.693325676480094,0.7394802178893022,0.6927657516718188
74,0.7362191574209533,0.6935742780701224,0.7357690646331763,0.6932396887893802,0.7393846015228235,0.6927284699208959
75,0.7362030686391439,0.6935546301751587,0.735754399904824,0.6932173695528145,0.7393599071163969,0.6927178684122952
76,0.7361746507659784,0.6935315463805718,0.7357500234724021,0.6931522002271924,0.7392875168011184,0.6927038639942096
77,0.7361492612849493,0.6934957152647506,0.7357180582779894,0.6931186697883677,0.7392502125336735,0.6926926842708833
78,0.7361287617279642,0.6935421774719993,0.7357811910348453,0.6931075711807503,0.739237995652342,0.6926918551989055
79,0.735675462449048,0.6926721544784012,0.7348219295491782,0.6925686437439917,0.7386364865477821,0.692461543792267
80,0.7357298714140137,0.6934882014492896,0.735836011574874,0.6928073440717577,0.7389037568759232,0.6926533844521733
81,0.7359392532884265,0.6942998827190502,0.736735122227215,0.6935112669894741,0.7396878997033548,0.6932414228790263
82,0.7361084881411271,0.6948448132726924,0.7373186245404788,0.6941424676068674,0.7403863462983944,0.6937659869606089
83,0.7362309552968948,0.695205009421174,0.7377101503312689,0.6945063041221441,0.740791540835615,0.694105345653538
84,0.7363396140389477,0.6955123641630735,0.7380104169868739,0.6948064861600214,0.7411268482378408,0.6944018798655986
85,0.7364561932441175,0.6958653089135978,0.7383978638484805,0.6951934710867094,0.7415544845919035,0.6947669003062584
86,0.7365651020992814,0.696151674740816,0.7388234292674627,0.6955394799422294,0.7419347871680209,0.6950898651497679
87,0.7366609498278952,0.6964091634671815,0.7390476425030308,0.6958087511456197,0.7422370585708272,0.6953478661734623
88,0.7367450178484927,0.6965952959568378,0.7393121299895378,0.6959898763279988,0.7424523807222587,0.6955357984837605
89,0.7368191433189784,0.6967379416432508,0.739528217135072,0.6961497436642007,0.7426325429619742,0.6956982654024791
