Time Step,T1,T2,T3,T4,T5,T6,T7,T8,T9,Tf_ghe1,Tf_ghe2,Tf_ghe3,T_ghe1_ext,T_ghe2_ext,T_ghe3_ext,q_ghe1,q_ghe2,q_ghe3
Units,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,°C,W/m,W/m
27,5.052407872451116,4.609603162007881,4.485974362759784,3.8389570182381356,3.8353577859577763,3.466083584190849,3.462778578850609,4.437869342762971,4.803522535638291,4.437869342762972,5.123469079404196,5.336848257380058,5.412960106675333,5.8090688160454205,5.870173979121826,5.828716348764785,4.098250687593122,3.1880153813172716
28,4.997427612195813,4.567847743413797,4.451297746922817,3.763754677116624,3.7602796012005335,3.40074232580887,3.3976286215037286,4.373185905369855,4.7439565990175465,4.373185905369855,5.068380955959277,5.287108770113834,5.348743189235981,5.7635760065487,5.83026094121012,6.187112908381033,4.409018662951903,3.4447426763984597
29,5.003707780075815,4.622942956988534,4.500742973980741,3.8122225927886744,3.8086737296371593,3.4214622740900493,3.4137478828430945,4.3826289361681905,4.751079401469613,4.3826289361681905,5.073473558608358,5.292425927054331,5.351509989493287,5.764318181048524,5.8337724526390495,5.862428032542802,4.180107420643038,3.2755362859207797
30,3.3989126313834688,1.8778005303003533,1.8387378736056268,1.5914326850010967,1.5898803556399161,1.4647579802195272,1.4513108601657185,2.5435505118073407,3.0283657412964073,2.543550511807341,3.4525790670993395,3.822394791482969,3.6357901634489633,4.361607622391338,4.61642384166953,20.293198069769357,16.889239001615678,14.75261291271426
31,3.4413510136274676,2.8119204990496156,2.7669381326111555,1.8711690911636571,1.869531234264285,1.7287531111617895,1.6767027711485207,2.6147924278810915,3.055051775095293,2.614792427881092,3.44027870390772,3.8828358576642397,3.5528820846136626,4.265764979934348,4.710619940233186,15.224164747748832,13.396735560445183,13.434026436757105
32,3.941880800492348,3.5010813842715196,3.3728886937384197,2.5005588418359936,2.494873558618884,2.248403919172425,2.155798920029674,3.1581641846659183,3.5774882084183934,3.1581641846659183,3.94439672920181,4.358329477148294,4.160529449302162,4.730629273737701,5.139170745878195,9.754832478454441,7.651469011987229,7.599002117744163
33,4.259025611714607,3.868563515775612,3.6493650507957875,2.964768033424117,2.9511595115397333,2.6120858321927334,2.4873950267012166,3.542793751432735,3.9479032984665166,3.542793751432735,4.302374152121075,4.614593969712426,4.598192476164253,5.061954552809417,5.281284640958336,7.344649804977743,5.286013627882425,4.639582551885676
34,4.590181406217467,4.533569260194219,4.177422959745395,3.585342670504411,3.564207847376766,3.134878035349375,2.978834622852833,3.964918550421856,4.333411143270152,3.9649185504218556,4.655842162012411,4.883633135300112,4.951002477990879,5.346765773602967,5.433855127330071,4.823539415815896,3.3797298390624455,2.691472187918281
35,4.794979496398966,4.97723878223825,4.441125042804293,3.8650351851400657,3.837548837794235,3.347105988007619,3.1670882825257842,4.210567075943166,4.56850451156642,4.210567075943167,4.8816997677367695,5.053808050493304,5.254045869360548,5.5528324595303715,5.5391115894201866,4.014637850117232,2.58208860968001,1.8671370884222633
36,4.975941776928118,5.482062544367776,4.764721484027639,4.212250901443299,4.170782295970595,3.602870383430299,3.4185205318695946,4.440047629981667,4.776120594683261,4.440047629981667,5.070184438797156,5.204308842350813,5.46157472809374,5.700321247612645,5.632497090018365,3.097364266543574,1.910632853759857,1.2983062124641556
