Time Step,HP1,HP2,HP3,HP4,HP5,HP6
2,0.00234,0.0,0.00081,0.0,0.0003799999999999999,0.0
3,0.0022650345925362084,0.0,0.0005743184829279716,0.0,-3.013407233936965e-05,0.0
4,0.0022401137721965634,0.0,0.0005471221116876563,0.0,-4.42612753503085e-05,0.0
5,0.0022200097955745435,0.0,0.0005333091468585832,0.0,-6.57365569316225e-05,0.0
6,0.0022102081821548315,0.0,0.0005202991749878024,0.0,-7.097630021313066e-05,0.0
7,0.0021892371050495647,0.0,0.0005101111012539534,0.0,-9.14529422207127e-05,0.0
8,0.002188023697010704,0.0,0.000551879533252289,0.0,-4.9239312134751064e-05,0.0
9,0.0021908938320404567,0.0,0.0005871303458540198,0.0,-3.185709401148289e-05,0.0
10,0.0021959774772959493,0.0,0.000596339349742557,0.0,-1.1154999417944977e-05,0.0
11,0.002197865668099095,0.0,0.000596536024471043,0.0,-1.085829821872769e-05,0.0
12,0.002202902185462886,0.0,0.000591745696453237,0.0,-1.2601170297491708e-06,0.0
13,0.0022075923343131795,0.0,0.0006051171152080096,0.0,4.208484833452802e-06,0.0
14,0.002215076070434685,0.0,0.0006170856622362574,0.0,2.401128432844696e-05,0.0
15,0.0022172074439242703,0.0,0.000629129434870461,0.0,2.2958535162505463e-05,0.0
16,0.0022200273467616635,0.0,0.0006364734732299527,0.0,3.451628996755014e-05,0.0
17,0.002215873849096767,0.0,0.0006383043682756063,0.0,2.0166597327148203e-05,0.0
18,0.0022131423934977023,0.0,0.0006333150066983762,0.0,1.2634363069537083e-05,0.0
19,0.002195306078032957,0.0,0.0005567811143548738,0.0,-5.5263752256709564e-05,0.0
20,0.0021876918991382954,0.0,0.0005380574048793118,0.0,-6.370274064985038e-05,0.0
21,0.002178060308260428,0.0,0.0005369352845298796,0.0,-7.745022805753115e-05,0.0
22,0.002166618643931348,0.0,0.000494545308990414,0.0,-0.00010335262273835483,0.0
23,0.002155850886870314,0.0,0.0004912756759449264,0.0,-0.00011829456858496363,0.0
24,0.0021488581796245713,0.0,0.00047312567215012453,0.0,-0.0001246311963118877,0.0
25,0.0021383080995606403,0.0,0.00046617914208570805,0.0,-0.00014041643634080635,0.0
26,0.002137060044832886,0.0,0.0004594943434911811,0.0,-0.00013798270863143427,0.0
