HP1_Energy_Wh,HP2_Energy_Wh,HP3_Energy_Wh,HP4_Energy_Wh,HP5_Energy_Wh,HP6_Energy_Wh
0.0,0.0,0.0,0.0,0.0,0.0
925.2104294148211,1516.4773056725928,3056.422738202771,4.34111524007074,3723.6070444067223,14.836086014592382
971.218247372075,1553.0151903265285,2640.311896050735,4.774078858077294,3989.0095671736985,2.7583868389376143
999.5649526479307,1555.816504512745,3212.3218650716726,4.4872200910844064,4092.3089052966216,2.765755971581525
971.5190945562072,1559.6349608604044,2733.7511586710852,4.768748186282756,4087.114092799649,15.457655345025149
1108.8194782322066,1563.8220100117592,3936.53343873106,8.552404411880344,4337.998684705265,455.2581699133467
544.3783577166645,1557.7493172904246,3312.473958079068,4.862423112310421,3896.8238620487573,5161.742758804188
239.67301244727594,1541.2861408550589,3417.720987089115,4.45633806629215,3424.636463773918,5492.439119328176
107.5069386699191,2703.9671883626493,2480.1276452535244,4.769297296503797,3668.9536874498904,5268.89642759913
57.198129509471684,4186.032735351808,2311.3862352422525,4.468562260515651,3561.6781744274913,4159.629808849326
29.73802751461349,5995.928405450339,1629.7509472879967,4.738421748856809,3355.4299201440936,3411.2801694346167
10.72487582446409,5976.585595870455,1585.4164066267574,7.002599016554962,3113.9923422185157,2212.694765618038
2.0369716398429296,5955.965815068722,1154.495690999443,7.4045833231899545,2944.7364863852913,1679.1569534951311
0.0043368159794732,5934.749904818895,1347.2167260881351,12.267754931276368,2894.0844059375836,1328.4073047012948
0.18151739440622297,5921.482784740686,1239.9638360506474,7.130815371677743,2924.0707037335583,1018.7793773811873
0.23209758077637327,5920.734941262967,1792.6652157989606,4.748981989194098,2964.835658288608,1330.7649301847448
0.009187794840759992,5927.29732901717,1887.1600574237716,4.476059860342796,2881.0929622116296,1811.7038305579622
167.5138282573566,4171.471827184014,2570.6591822585515,4.7419880125415395,2535.74170573179,3162.4708856656257
397.72631632252904,1546.5240598881014,2381.0795098434965,4.539760005410828,2337.8416723770742,4361.7115630164135
403.883643765993,1554.0423175398703,3177.018179765594,4.735440461490994,2529.0265132005384,3973.584184992261
757.8140101488576,1557.2405985658606,2977.482435806404,4.578358160478925,2793.180265134397,3337.9782184875603
775.4712250033429,1565.1377606421534,3853.380556916916,8.940203153146742,3095.209849503355,2226.6368191886572
937.2089823060887,1570.6014080060042,3450.550364073038,4.6189163284347075,3656.539185490064,1692.9691211541551
1026.174744434063,1573.9290373279011,4348.858059094394,4.792910104397655,4294.075542810154,526.3448469297755
1021.7417694619065,1578.5812878410088,3616.809972048805,5.815231219956876,4956.314299536091,49.04699848536639
1071.696576145933,1578.2160302878058,4514.553662005438,6.08984985438242,5367.535746899025,15.69715390850663
1126.9069793076558,1580.950491631281,4003.167280061342,5.826478691493681,5719.519643278493,2.812904851611256
1194.2259633457775,1583.948033373592,5095.302187529877,6.1169881682196,6106.695167044797,2.8161239015663897
858.4501577082463,1582.153649870596,4649.09908993254,5.805495305944298,6447.4662121649735,15.744620890603514
133429.93656525924,1638.498433671384,6040.7982679692805,11.185408827342574,6755.271676255873,471.41165844489336
19732.144482607408,1697.5807722996265,61427.37020277815,9.531080135137472,6573.273500152874,5308.484485230194
3107.9567306904873,4755.3219598107935,20386.557091542218,40.80478848576356,7162.46673700121,5607.846609071063
1225.4327693750909,6961.130350208247,6315.2687439540605,117.50920039069707,6811.093212735974,5348.3634562701245
388.5016053401384,8846.128571748479,2293.624640831224,136.40005903348327,5259.9946552690435,4266.989609709025
81.183609070574,12070.156971902412,1336.1355773471137,140.45303608509377,4179.691968153721,3469.920224442498
0.015679404899423995,12759.492109451736,836.0350349374681,195.77563139258396,3434.5993091975033,2238.5738142572973
28.69678362677068,9651.880325676288,706.6981645177551,276.49090363348006,2830.9735606624827,1689.638528825182
147.843116216503,12507.955515151489,102.30233925643648,248.09473666600678,2316.544543911921,1315.2203726916296
328.6261004733682,11124.822423173964,40.18617532481752,105.5424519276327,1985.2331300903302,989.8410741031048
471.285853381101,9884.699129581479,109.73800751241372,96.92550508667587,1998.9697867889029,1282.1916391227965
287.29123715332184,7195.420822292101,199.20648241948138,163.6272735345698,2467.182726237074,1749.0676865652804
298.98099737601217,3084.213528872435,376.1547906696928,65.36432904912562,2545.4425131862204,3070.4498338512167
1.5344723021690099,2156.8875815886136,1089.9180210478955,45.73369816748119,2682.468287733575,4302.033134350953
1.9226038261223135,2235.9040013441468,1313.030787667661,27.080546182472503,3159.54417586767,3989.2377607446706
20.038556093108873,2239.5996352059315,1950.6417436744355,32.9333504719252,3731.0976874817675,3353.4654326784284
