HP1_CP_Energy_Wh,HP2_CP_Energy_Wh,HP3_CP_Energy_Wh,HP4_CP_Energy_Wh,HP5_CP_Energy_Wh,HP6_CP_Energy_Wh
0.0,0.0,0.0,0.0,0.0,0.0
644.6109579473309,12.64250963391271,641.8882487477657,0.326770235719278,215.64279185020652,0.8044076878300371
663.9486285551956,12.9272677501893,598.8466798215652,0.3468241120615673,226.09942120119806,0.35293341787861937
673.8878477571917,12.948898855120412,660.8418657638836,0.33628919846775074,229.01678244294615,0.35331528197063367
664.6068706981148,12.96508332443046,609.7700935461362,0.3468740171640951,229.0118781548212,0.8359652962889709
709.9218714758723,12.985907290766223,731.6476156979675,0.4645094468512965,235.8863235330462,4.533644266671765
497.9953761303963,12.992851352915311,671.8030673797734,0.35136228744493825,224.2167855152335,15.237574805940108
330.3936554458771,12.910585612808987,682.2896224230967,0.336776692263597,210.3828593790936,15.237574805940108
221.21028186678035,17.08001346728696,581.1242673824889,0.3487241549808535,217.96353300974505,15.237574805940108
161.32239167253226,21.23687740456619,560.9290384867832,0.3372655818775838,214.56676646935523,13.724078855298345
116.32789692410893,25.411937683613182,471.0483899285967,0.3471731944847021,208.20628846390377,12.437901888488645
69.87426624781575,25.37376651057873,464.66043142207394,0.42193242235608924,200.50275139405406,10.01092559215616
30.45156258381662,25.327581470965537,396.5284771597335,0.4341348295951943,195.09963544279657,8.728570801555158
1.4047697845210374,25.266826503210496,428.26407752780915,0.5586954494394951,193.35693994932512,7.758655231173995
10.071244927413181,25.231524467150013,410.83772864780263,0.4262979920640123,194.51997523446636,6.7993023637418
11.390022434743226,25.211099287015525,493.86195649936246,0.34783707160943655,195.81662740152717,7.763366026729444
2.2664284720390873,25.226451527599856,506.7329390513825,0.3379641962381597,193.19362184090195,9.060711478307718
275.64505491903736,21.06988695641041,590.8724777180796,0.34672605143372737,180.72974314914367,11.965413751054072
425.3171550405384,12.881628475684739,569.1457647211072,0.339245911253937,173.5487491054433,14.04463651848873
428.6966623382767,12.94458015461265,657.553187696736,0.3464994136019284,180.49495009980768,13.391090144224348
586.9371360221858,12.932026227178685,636.2372373736364,0.3403722129114793,189.55176885438348,12.283294186478319
594.1443866762157,12.99707055173656,724.249187332274,0.4756596455833814,199.52703680013408,10.024690744267213
653.1406757130515,13.009990780241537,685.2603132165882,0.34193167583228934,216.9187533147506,8.749885432198493
683.5336538558144,13.033837166381812,769.4165739216559,0.3482092255224813,234.97695946049336,4.876283016911831
682.2450237988651,13.053131653324725,701.8161493630718,0.3837354125823226,252.58986726205578,1.4902457831780171
698.6298130205197,13.05514699437863,784.0246086432053,0.39256734396339465,262.7499139208751,0.8427509823167091
716.4840376385451,13.062769030698202,738.313371813684,0.3841099846552143,271.3345186122135,0.35701530379355173
