Time Step,HP1,HP2,HP3,HP4,HP5,HP6
2,1.126279,0.0,1.1462789999999998,0.0,1.1562789999999998,0.0
3,1.1267222394547385,0.0,1.1475777928104158,0.0,1.1583602929480359,0.0
4,1.1268633628433389,0.0,1.1477097931582962,0.0,1.1584169997052323,0.0
5,1.1269749461240999,0.0,1.1477754196336323,0.0,1.1585012903018197,0.0
6,1.1270286152989066,0.0,1.1478363586125426,0.0,1.1585215063729153,0.0
7,1.127141830032963,0.0,1.147883488903373,0.0,1.158599193255725,0.0
8,1.127148313456559,0.0,1.1476869694087757,0.0,1.1584367438363172,0.0
9,1.1271329660012441,0.0,1.1475143276834425,0.0,1.158367262608751,0.0
10,1.1271056811708795,0.0,1.1474682027828993,0.0,1.1582825399125254,0.0
11,1.127095514003833,0.0,1.147467213078605,0.0,1.1582813100959182,0.0
12,1.127068307141799,0.0,1.1474912638990935,0.0,1.1582412885217876,0.0
13,1.127042857285858,0.0,1.1474238431060293,0.0,1.158218280085338,0.0
14,1.1270020209999032,0.0,1.1473627376060718,0.0,1.1581337112513825,0.0
15,1.1269903395624927,0.0,1.1473005250439643,0.0,1.1581382564164755,0.0
16,1.1269748495909413,0.0,1.147262233174565,0.0,1.1580880531464535,0.0
17,1.1269976512671647,0.0,1.1472526448786355,0.0,1.1581502835621065,0.0
18,1.1270125992688451,0.0,1.1472787344919948,0.0,1.1581825366072824,0.0
19,1.1271092920963635,0.0,1.1476633356923167,0.0,1.1584604725536944,0.0
20,1.1271500850212859,0.0,1.1477529678926335,0.0,1.1584934064128134,0.0
21,1.1272012709602095,0.0,1.1477582839172809,0.0,1.158546294613276,0.0
22,1.1272614735354383,0.0,1.1479544944599585,0.0,1.158643376603934,0.0
23,1.127317532350425,0.0,1.147969255389875,0.0,1.158697853175665,0.0
24,1.1273536271155489,0.0,1.1480502226179734,0.0,1.1587206186867745,0.0
25,1.127407621535923,0.0,1.1480807752774347,0.0,1.1587764570936447,0.0
26,1.1274139721630112,0.0,1.148109948966592,0.0,1.1587679293065487,0.0
27,1.1274607348606538,0.0,1.1481230959531257,0.0,1.1588074294804631,0.0
28,1.1274776466752905,0.0,1.1481584713828017,0.0,1.1588080926102138,0.0
29,1.1275320585441075,0.0,1.1481769237720783,0.0,1.158852701003385,0.0
30,1.1275297539979348,0.0,1.1481297506869286,0.0,1.1588186365086677,0.0
31,1.128874035359869,0.0,1.149720212506303,0.0,1.159802759166929,0.0
32,1.1289222335266953,0.0,1.1493466307451325,0.0,1.1597475115209543,0.0
33,1.1285476186736898,0.0,1.1489908270976679,0.0,1.1595166659048126,0.0
34,1.1282415965538284,0.0,1.1487870655226198,0.0,1.159287429397888,0.0
35,1.1279369460875481,0.0,1.1483416951242171,0.0,1.1588615388799675,0.0
36,1.1277353156880583,0.0,1.1480932390435536,0.0,1.1586327735043687,0.0
37,1.1275570189287547,0.0,1.1477803156600546,0.0,1.15835082786558,0.0
38,1.1274000956584078,0.0,1.1472188925518283,0.0,1.157809863974733,0.0
39,1.1272200652441027,0.0,1.1466722189770575,0.0,1.1569090318271065,0.0
40,1.1270621096752944,0.0,1.1459912411863218,0.0,1.1561403448692151,0.0
41,1.126962540061768,0.0,1.1456740549250604,0.0,1.156012347488192,0.0
42,1.1269323596194434,0.0,1.1458487357689984,0.0,1.1563073142425235,0.0
43,1.126884689434604,0.0,1.1455705143151955,0.0,1.1561358618131197,0.0
44,1.1270528447234598,0.0,1.1474266484070361,0.0,1.1582470728724186,0.0
45,1.1270914625051243,0.0,1.1472877817440108,0.0,1.1581210826547979,0.0
46,1.1271706932743693,0.0,1.1475705461788388,0.0,1.1583936415787208,0.0
47,1.1271913090750068,0.0,1.1475605912484295,0.0,1.1583940543114815,0.0
48,1.127057636439337,0.0,1.1478202913854543,0.0,1.1578724625038235,0.0
49,1.127054819367038,0.0,1.147794732242977,0.0,1.1580609413516156,0.0
50,1.1270744509351676,0.0,1.147800139635221,0.0,1.1581735235801458,0.0
51,1.1271060915866062,0.0,1.1477989206900365,0.0,1.158252768414091,0.0
52,1.1271331016986856,0.0,1.1478389517321201,0.0,1.1583018890098047,0.0
53,1.1271758484957861,0.0,1.147858421368545,0.0,1.158380065306332,0.0
54,1.1271839924500637,0.0,1.1478206786366223,0.0,1.158356824009861,0.0
55,1.128069169732963,0.0,1.1492479669755573,0.0,1.1593632608862996,0.0
56,1.127989736896514,0.0,1.148353800622044,0.0,1.1591010605397642,0.0
57,1.1276712131605668,0.0,1.147631864126459,0.0,1.1585866811546812,0.0
58,1.1274425388089058,0.0,1.1470900945449891,0.0,1.1578596142477193,0.0
59,1.1272371404531936,0.0,1.1464647651127426,0.0,1.1570383818084267,0.0
60,1.127073843975166,0.0,1.1459891142346683,0.0,1.1564287254784216,0.0
61,1.1269266788098893,0.0,1.1455259007228087,0.0,1.155912474419724,0.0
62,1.126773104713468,0.0,1.1448986693789729,0.0,1.1552783004354659,0.0
